色名,よみ,系統色名,マンセル値,PCCSトーン,説明,RGB,列 1,列 2,列 3,列 4,列 5
鴇色,ときいろ,明るい紫みの赤,7RP 7.5/8,lt24+,トキの翼の内側や風切羽、尾羽などは明るいピンクをしているが、その色からとられた近世和装で流行した色名。トキの体色は一見すると白だが、飛ぶときにはピンクが見える。昔は日本各地に生息していたので、人々はその色も知っていたのだろう。,#F9A1D0,トキの翼の内側や風切羽、尾羽などは明るいピンクをしているが、その色からとられた近世和装で流行した色名。,トキの体色は一見すると白だが、飛ぶときにはピンクが見える。,昔は日本各地に生息していたので、人々はその色も知っていたのだろう。,,
韓紅花,からくれない,あざやかな赤,1.5R 5.5/13,"b2, v2",日本で呉（くれ）と呼んだ中国の地域から渡来した染料という意味で、紅花の赤を「呉藍（くれない）」と呼んでいたことに由来する。平安時代から使われるようになった伝統的な色名。王朝貴族に愛された紅の色だった。,#E3557F,日本で呉（くれ）と呼んだ中国の地域から渡来した染料という意味で、紅花の赤を「呉藍（くれない）」と呼んでいたことに由来する。,平安時代から使われるようになった伝統的な色名。,王朝貴族に愛された紅の色だった。,,
蘇芳,すおう,くすんだ赤,4R 4/7,d2,インド、マレー半島などを原産地とするマメ科植物の心材を原料とし、その煎汁を染料として染めた色の色名。マレー語の sapang の音に中国人が漢字をあてたのでいろいろな表記がある。この染料は奈良時代にすでに日本に渡来していた。,#974B52,インド、マレー半島などを原産地とするマメ科植物の心材を原料とし、その煎汁を染料として染めた色の色名。,マレー語の sapang の音に中国人が漢字をあてたのでいろいろな表記がある。,この染料は奈良時代にすでに日本に渡来していた。,,
鳶色,とびいろ,暗い黄みの赤,7.5R 3.5/5,dk4,トビは「とんび」ともいう鳥のことで、その羽のような色のこと。鳥の羽の色からとられた色名としては鶸色（ひわいろ）に次いで古いが、それでも近世のこと。江戸時代の前期から用いられるようになった茶色染色の色名。,#7D483E,トビは「とんび」ともいう鳥のことで、その羽のような色のこと。,鳥の羽の色からとられた色名としては鶸色（ひわいろ）に次いで古いが、それでも近世のこと。,江戸時代の前期から用いられるようになった茶色染色の色名。,,
海老茶,えびちゃ,暗い黄みの赤,8R 3/4.5,dk4,葡萄（ぶどう）の古名を「えび」といった。平安時代の「えびいろ」は山葡萄の果実のような暗い赤紫のこと。近世に葡萄を「えび」とは読まなくなったので、海老の字が当てられて海老茶になった。,#6D3D33,葡萄（ぶどう）の古名を「えび」といった。,平安時代の「えびいろ」は山葡萄の果実のような暗い赤紫のこと。,近世に葡萄を「えび」とは読まなくなったので、海老の字が当てられて海老茶になった。,,
弁柄色,べんがらいろ,暗い黄みの赤,8R 3.5/7,dk4,インド半島北東部のベンガル地方で産出する天然の酸化鉄からつくった赤褐色に由来する。ベンガルのあて字なのでいろいろな表記がある。酸化第二鉄を使った色の一般的な色名として、江戸時代には広く用いられるようになった。,#8A4031,インド半島北東部のベンガル地方で産出する天然の酸化鉄からつくった赤褐色に由来する。,ベンガルのあて字なのでいろいろな表記がある。,酸化第二鉄を使った色の一般的な色名として、江戸時代には広く用いられるようになった。,,
黄丹,おうに,つよい黄赤,10R 6/12,b4,古代に皇太子の礼服として制定され、現在まで続いている染色の色名。「おうたん」とも読む。紅花とクチナシで染めたオレンジ色で、長い間、臣下の服色としては使えない禁色（きんじき）とされていた。,#EF6D3E,古代に皇太子の礼服として制定され、現在まで続いている染色の色名。,「おうたん」とも読む。,紅花とクチナシで染めたオレンジ色で、長い間、臣下の服色としては使えない禁色（きんじき）とされていた。,,
桧皮色,ひわだいろ,暗い灰みの黄赤,1YR 4.3/4,g4,桧（ひのき）の樹皮のような茶色の色名。ヒノキの樹皮を染料にしたわけではなく、黒みのある蘇芳の染色の色名といわれている。平安時代以来の伝統的な色名。,#8A604F,桧（ひのき）の樹皮のような茶色の色名。,ヒノキの樹皮を染料にしたわけではなく、黒みのある蘇芳の染色の色名といわれている。,平安時代以来の伝統的な色名。,,
代赭,たいしゃ,くすんだ黄赤,2.5YR 5/8.5,d4,天然の土からつくる絵の具の原料として、東洋では中国の山西省代州産の赭土（あかつ）が有名で、その土の酸化鉄を使った絵の具の色を代赭色と呼んだ。やがて代赭は一般の酸化鉄を使った絵の具の通称になった。,#BA6432,天然の土からつくる絵の具の原料として、東洋では中国の山西省代州産の赭土（あかつ）が有名で、その土の酸化鉄を使った絵の具の色を代赭色と呼んだ。,やがて代赭は一般の酸化鉄を使った絵の具の通称になった。,,,
柑子色,こうじいろ,明るい黄赤,5.5YR 7.5/9,b6,コウジミカンの実のような色を表す平安時代からの伝統的な色名。「こうじ」は「かんじ」の変化した語とのこと。蜜柑色（みかんいろ）、オレンジ色などのルーツ。日本語の黄赤を代表する古い色名である。,#FFA75E,コウジミカンの実のような色を表す平安時代からの伝統的な色名。,「こうじ」は「かんじ」の変化した語とのこと。,蜜柑色（みかんいろ）、オレンジ色などのルーツ。,日本語の黄赤を代表する古い色名である。,
